Land use,Scenario,Direction,Gen,Rep,X,Y,Proportion,Male
LU,C45,WE,2,3,223820,5133145,0,0
LU,C45,WE,2,3,234643,5142789,0.1607,0
LU,C45,WE,2,3,234064,5142027,0.1478,0
LU,C45,WE,2,3,229093,5134529,0.03696,0
LU,C45,WE,2,3,223543,5133017,0,1
LU,C45,WE,2,3,216318,5129080,0,1
LU,C85,WE,2,1,230028,5114773,0.05781,0
LU,C85,WE,2,1,227039,5127947,0,0
LU,C85,WE,2,1,234417,5142438,0.1557,0
LU,C85,WE,2,1,239229,5121814,0.2629,1
LU,C85,WE,2,1,222335,5134108,0,1
LU,C85,WE,2,1,235439,5115925,0.1784,1
LU,C85,WE,2,2,222326,5134632,0,0
LU,C85,WE,2,2,248261,5138310,0.4643,0
LU,C85,WE,2,2,221983,5134558,0,0
LU,C85,WE,2,2,219947,5133774,0,0
LU,C85,WE,2,2,217639,5130221,0,1
LU,C85,WE,2,2,229191,5134522,0.03915,1
LU,C85,WE,2,2,239798,5125801,0.2756,1
LU,C85,WE,2,3,228489,5122601,0.0235,0
LU,C85,WE,2,3,228411,5128166,0.02176,0
LU,C85,WE,2,3,222606,5132944,0,0
LU,C85,WE,2,3,227536,5134207,0.002252,1
LU,C85,WE,2,3,214231,5132291,0,1
LU,C85,WE,2,3,232870,5112127,0.1212,1
LU,C85,WE,2,3,224230,5134739,0,1
LU,Hist,WE,2,1,234523,5142219,0.158,0
LU,Hist,WE,2,1,216146,5128762,0,0
LU,Hist,WE,2,1,228126,5134158,0.0154,0
LU,Hist,WE,2,1,216071,5128905,0,1
LU,Hist,WE,2,1,234796,5147621,0.1641,1
LU,Hist,WE,2,1,237512,5147384,0.2246,1
LU,Hist,WE,2,1,224905,5142074,0,1
LU,Hist,WE,2,1,222753,5128829,0,1
LU,Hist,WE,2,2,219074,5133877,0,0
LU,Hist,WE,2,2,239256,5131684,0.2635,0
LU,Hist,WE,2,2,236250,5145717,0.1965,1
LU,Hist,WE,2,2,215535,5133709,0,1
LU,Hist,WE,2,2,222385,5132701,0,1
LU,Hist,WE,2,2,227840,5135509,0.009029,1
LU,Hist,WE,2,3,228559,5122625,0.02506,0
