Direction,Scenario,Landuse,Gen,Rep,Year,Alive,Starved,Winter_Kill,Predation,Stochastic_Death,Left_Map,Failed_to_Establish,Total_Dispersers,EnergyLevel_Mean,Stdev,Sterr,Variance,PercepDist_Mean,Stdev,Sterr,Variance,StepDist_Mean,Stdev,Sterr,Variance,     TotalDist_Mean,Stdev,Sterr,Variance,Tortuosity_Mean,Stdev,Sterr,Variance,SLDist_Mean,Stdev,Sterr,Variance,TimeSteps_Mean,TimeSteps_SD,Males,Females,ResCount,MaxDispersal
EW,C85,NLU,0,6,2010,3,4,0,2,0,0,1,10,5394.09,123.77,71.46,15319.84,100.00,0.00,0.00,0.00,262.12,11.83,6.83,140.00,394143.51,84221.57,48625.34,7093272453.07,107.63,111.21,64.21,12367.82,6313.35,3896.78,2249.81,15184889.05,3941.33,731.01,5,5,45,9509.13255642
EW,C85,NLU,0,7,2010,8,1,0,1,0,0,0,10,5265.09,479.62,169.57,230031.90,100.00,0.00,0.00,0.00,265.46,21.55,7.62,464.40,236867.59,114772.04,40578.04,13172621563.24,26.59,13.94,4.93,194.45,10702.12,5055.06,1787.23,25553665.16,2319.00,1076.59,5,5,23,19073.7695003
EW,C85,NLU,0,8,2010,6,4,0,0,0,0,0,10,5401.69,146.57,59.84,21483.70,100.00,0.00,0.00,0.00,271.02,19.46,7.94,378.59,321740.21,74539.84,30430.76,5556188206.07,50.07,49.98,20.41,2498.32,10236.94,6099.60,2490.15,37205072.76,3128.33,902.94,5,5,45,17323.8048793
EW,C85,NLU,0,9,2010,5,3,0,2,0,0,0,10,5105.91,373.83,167.18,139751.62,100.00,0.00,0.00,0.00,270.34,16.73,7.48,279.92,185382.55,77528.06,34671.60,6010600515.85,33.62,23.18,10.37,537.54,6395.04,2299.99,1028.59,5289975.70,1765.00,637.08,5,5,18,9761.11042749
EW,Hist,NLU,0,1,2010,8,1,0,0,0,0,1,10,5473.65,183.41,64.85,33639.75,100.00,0.00,0.00,0.00,263.16,12.21,4.32,149.12,285710.97,158584.29,56068.01,25148975835.57,27.88,18.23,6.45,332.47,13259.63,8439.22,2983.71,71220437.19,2787.25,1503.21,5,5,22,28036.8720337
EW,Hist,NLU,0,10,2010,8,1,0,1,0,0,0,10,5561.59,107.58,38.04,11574.50,100.00,0.00,0.00,0.00,261.52,10.57,3.74,111.68,244115.06,136061.30,48104.93,18512677227.71,37.76,45.77,16.18,2095.16,13708.08,10482.27,3706.04,109878005.81,2431.88,1361.30,5,5,22,35186.9036586
EW,Hist,NLU,0,2,2010,4,3,0,0,0,0,3,10,5461.19,257.37,128.68,66237.36,100.00,0.00,0.00,0.00,265.80,19.00,9.50,361.06,435026.73,77753.55,38876.78,6045615170.36,102.55,71.60,35.80,5126.50,6603.89,5802.24,2901.12,33666046.88,4349.50,975.83,5,5,35,15171.1719644
EW,Hist,NLU,0,3,2010,3,7,0,0,0,0,0,10,5140.85,612.42,353.58,375058.15,100.00,0.00,0.00,0.00,274.32,17.74,10.24,314.62,367036.06,94380.55,54490.64,8907687990.99,40.24,19.51,11.27,380.80,9785.60,2071.95,1196.24,4292992.24,3472.67,768.73,5,5,19,11676.3309019
EW,Hist,NLU,0,4,2010,4,6,0,0,0,0,0,10,5375.08,143.49,71.75,20589.54,100.00,0.00,0.00,0.00,260.82,11.11,5.55,123.33,319018.81,154636.25,77318.13,23912371360.09,55.78,46.42,23.21,2155.26,12093.59,10751.16,5375.58,115587454.51,3185.75,1545.47,5,5,19,24400.2490925
EW,Hist,NLU,0,5,2010,5,2,0,2,0,0,1,10,5466.30,419.96,187.81,176367.81,100.00,0.00,0.00,0.00,254.83,14.80,6.62,219.13,382805.38,64549.20,28867.28,4166598824.39,46.88,38.51,17.22,1482.73,15148.12,12405.00,5547.69,153884055.64,3962.00,740.39,5,5,26,34700.7683106
EW,Hist,NLU,0,6,2010,4,1,0,3,0,0,2,10,5352.44,601.97,300.99,362370.69,100.00,0.00,0.00,0.00,269.99,16.64,8.32,276.90,499882.94,66243.33,33121.66,4388178767.82,84.47,47.52,23.76,2258.40,9958.15,10442.38,5221.19,109043348.64,4838.00,572.43,5,5,38,25606.005757
EW,Hist,NLU,0,7,2010,7,2,0,1,0,0,0,10,5518.26,189.45,71.61,35891.61,100.00,0.00,0.00,0.00,264.89,22.10,8.35,488.46,250598.20,114113.13,43130.71,13021806270.97,25.33,16.61,6.28,275.80,12806.17,7283.97,2753.08,53056227.34,2434.14,1049.59,5,5,16,20563.6567946
EW,Hist,NLU,0,8,2010,5,3,0,1,0,0,1,10,5396.31,202.94,90.76,41183.57,100.00,0.00,0.00,0.00,261.25,10.08,4.51,101.54,362927.17,177295.53,79288.97,31433706315.86,27.73,19.54,8.74,381.69,17433.34,11587.57,5182.12,134271838.30,3666.40,1843.29,5,5,33,32596.6853466
EW,Hist,NLU,0,9,2010,3,4,0,2,0,0,1,10,5532.10,172.21,99.42,29655.21,100.00,0.00,0.00,0.00,258.06,17.62,10.17,310.43,337811.84,170414.68,98388.96,29041163549.20,35.07,25.34,14.63,642.27,10733.73,3774.42,2179.16,14246260.49,3381.00,1638.52,5,5,7,14729.5224685
WE,C45,LU,0,1,2010,7,3,0,0,0,0,0,10,4954.39,378.95,143.23,143600.22,100.00,0.00,0.00,0.00,273.36,9.48,3.58,89.84,291980.08,118408.86,44754.34,14020658133.92,41.50,29.93,11.31,895.75,11931.39,11854.99,4480.77,140540884.27,2765.57,1058.03,5,5,18,36619.7218612
WE,C45,LU,0,10,2010,3,7,0,0,0,0,0,10,4266.26,817.83,472.18,668853.18,100.00,0.00,0.00,0.00,281.39,13.35,7.71,178.15,256184.38,169307.82,97749.92,28665138203.68,71.60,73.91,42.67,5463.18,7823.38,8377.55,4836.78,70183327.91,2409.00,1678.77,5,5,18,17151.0637608
WE,C45,LU,0,2,2010,5,4,0,1,0,0,0,10,4782.32,657.78,294.17,432671.06,100.00,0.00,0.00,0.00,278.12,18.10,8.09,327.50,153855.37,17133.33,7662.26,293551083.05,57.39,67.18,30.05,4513.65,8891.27,7020.94,3139.86,49293607.71,1405.20,153.93,5,5,32,15536.2303001
WE,C45,LU,0,3,2010,8,2,0,0,0,0,0,10,4802.58,478.37,169.13,228840.16,100.00,0.00,0.00,0.00,274.26,15.92,5.63,253.35,228710.72,118187.13,41785.46,13968198718.19,30.14,14.04,4.96,197.10,8840.72,5076.79,1794.92,25773816.11,2177.12,1223.86,5,5,25,19130.5143484
WE,C45,LU,0,4,2010,6,4,0,0,0,0,0,10,4977.36,559.81,228.54,313381.75,100.00,0.00,0.00,0.00,272.99,15.11,6.17,228.20,192098.28,62654.29,25578.51,3925560091.92,50.60,56.58,23.10,3201.33,12196.83,11065.65,4517.53,122448527.68,1817.33,590.15,5,5,23,26696.7035034
WE,C45,LU,0,5,2010,6,3,0,1,0,0,0,10,4780.95,641.52,261.90,411548.96,100.00,0.00,0.00,0.00,279.92,17.70,7.22,313.17,153777.41,8114.48,3312.72,65844738.66,25.74,10.74,4.38,115.32,6984.07,3340.94,1363.93,11161851.35,1422.50,96.52,5,5,36,13153.613364
WE,C45,LU,0,6,2010,6,4,0,0,0,0,0,10,5045.97,586.79,239.55,344317.39,100.00,0.00,0.00,0.00,279.32,12.26,5.00,150.23,168903.77,26559.10,10842.71,705385805.85,32.98,21.09,8.61,444.99,6865.28,3792.52,1548.29,14383224.18,1558.00,210.41,5,5,34,13256.2703792
WE,C45,LU,0,7,2010,6,2,0,2,0,0,0,10,5477.02,127.03,51.86,16135.48,100.00,0.00,0.00,0.00,260.78,12.94,5.28,167.34,364750.35,91739.15,37452.35,8416071021.01,44.25,42.32,17.28,1791.22,14137.98,8240.88,3364.32,67912020.94,3616.00,792.44,5,5,15,23476.7206969
WE,C45,LU,0,8,2010,4,6,0,0,0,0,0,10,4913.06,730.30,365.15,533344.84,100.00,0.00,0.00,0.00,275.12,21.93,10.97,481.13,186247.83,72399.41,36199.70,5241674537.85,93.67,123.42,61.71,15232.15,7326.38,7835.57,3917.78,61396102.03,1782.50,832.78,5,5,35,18619.6829022
WE,C45,LU,0,9,2010,4,5,0,1,0,0,0,10,5252.54,224.79,112.40,50532.00,100.00,0.00,0.00,0.00,270.38,12.37,6.19,153.09,392269.24,82980.45,41490.22,6885754263.21,155.46,142.28,71.14,20243.04,5912.33,5171.36,2585.68,26742931.21,3786.25,841.54,5,5,11,11533.7622194
WE,C85,LU,0,1,2010,8,2,0,0,0,0,0,10,5341.01,222.60,78.70,49552.77,100.00,0.00,0.00,0.00,269.93,15.71,5.56,246.95,300196.57,108213.95,38259.41,11710258678.94,39.23,16.61,5.87,275.78,8741.67,4090.58,1446.24,16732825.56,2946.88,1123.76,5,5,25,15366.1490444
WE,C85,LU,0,10,2010,6,2,0,2,0,0,0,10,5294.55,241.87,98.74,58503.09,100.00,0.00,0.00,0.00,263.93,10.86,4.43,117.84,215828.49,83545.90,34107.47,6979917536.08,36.51,36.85,15.04,1357.66,12149.72,9030.13,3686.53,81543194.30,2116.83,782.69,5,5,25,25831.3083132
WE,C85,LU,0,2,2010,8,2,0,0,0,0,0,10,4981.40,403.03,142.49,162434.30,100.00,0.00,0.00,0.00,275.92,15.92,5.63,253.46,174567.63,31620.90,11179.68,999881201.12,41.78,30.23,10.69,913.74,7637.15,6725.56,2377.85,45233196.06,1639.12,369.41,5,5,35,18951.7476271
WE,C85,LU,0,3,2010,9,1,0,0,0,0,0,10,5074.67,376.23,125.41,141545.46,100.00,0.00,0.00,0.00,272.34,15.26,5.09,233.00,206664.58,64408.66,21469.55,4148475626.41,33.51,17.40,5.80,302.89,7456.63,3937.34,1312.45,15502632.53,1983.89,657.86,5,5,22,12879.5935244
